layout_id,layout_name,trans_types,pos,len,field,desc
3.1.9,"紅利交易 (交易別 80, 81)","80,81",83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",91,12,Reference_No,銀行交易序號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",103,12,Amount_After_Cost,扣抵後消費金額
3.1.9,"紅利交易 (交易別 80, 81)","80,81",115,18,Store_Id,專櫃號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",133,2,Start Get PAN,交易別
3.1.9,"紅利交易 (交易別 80, 81)","80,81",135,3,Filler,保留
3.1.9,"紅利交易 (交易別 80, 81)","80,81",138,1,CardType,卡片代碼
3.1.9,"紅利交易 (交易別 80, 81)","80,81",139,4,Org_Trans_Date,原交易日期 (MMDD)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",143,2,Filler,保留
3.1.9,"紅利交易 (交易別 80, 81)","80,81",145,50,Encrypted Card Number,加密卡號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",195,10,Redeem_Point_Remain,紅利餘額點數 (右靠左補 0)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",205,10,Redeem_Point_Cost,扣抵紅利點數 (右靠左補 0)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",215,104,Filler,保留
3.1.9,"紅利交易 (交易別 80, 81)","80,81",319,30,Additional Information,附加資料 (左靠右補空白)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",349,1,ESC_Status,電簽簽名狀態
3.1.9,"紅利交易 (交易別 80, 81)","80,81",350,4,ESC_Response_Code,電簽主機回應碼
3.1.9,"紅利交易 (交易別 80, 81)","80,81",354,247,Filler,保留
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",1,2,Trans_Type,交易別
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",3,2,Host_ID,銀行別
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",5,29,Filler,保留
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",34,12,Trans_Amount,交易金額
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",46,6,Trans_Date,交易日期
